source,target,relation,context,source_document,creation_timestamp
40,167,has parts of the class,"The IPI, is an integer value ranging from 1-10 based on end tidal C02, respiration\nrate, SpO2(oxygen saturation of arterial hemoglobin) and pulse rate.",K082268.pdf.txt,2025-11-05T17:23:40.811131
167,40,has parts of the class,"The IPI, is an integer value ranging from 1-10 based on end tidal C02, respiration\nrate, SpO2(oxygen saturation of arterial hemoglobin) and pulse rate.",K082268.pdf.txt,2025-11-05T17:23:40.811131
53,221,instance of,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
226,220,used by,"Clearance Date\nOridion 1987 Capnostream 20 K072295 October 1 1th, 2007\nMedical Ltd\nDEVICE DESCRIPTION\nThe Capnostream 20 bedside monitor is a two parameter monitor consisting of a\nminiMediCO 2capnography module and a pulse oximetry module implemented in a host\ndevice.",K082268.pdf.txt,2025-11-05T17:23:40.811131
122,258,different from,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
258,122,different from,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
120,262,use,"Clearance Date\nOridion 1987 Capnostream 20 K072295 October 1 1th, 2007\nMedical Ltd\nDEVICE DESCRIPTION\nThe Capnostream 20 bedside monitor is a two parameter monitor consisting of a\nminiMediCO 2capnography module and a pulse oximetry module implemented in a host\ndevice.",K082268.pdf.txt,2025-11-05T17:23:40.811131
263,262,studied by,"Clearance Date\nOridion 1987 Capnostream 20 K072295 October 1 1th, 2007\nMedical Ltd\nDEVICE DESCRIPTION\nThe Capnostream 20 bedside monitor is a two parameter monitor consisting of a\nminiMediCO 2capnography module and a pulse oximetry module implemented in a host\ndevice.",K082268.pdf.txt,2025-11-05T17:23:40.811131
122,220,connects with,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
48,122,subclass of,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
152,122,subclass of,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
244,254,subclass of,The IPI feature\nis not intended for use in the monitoring of children aged less than one year or\nneonates and the feature is disabled when neonatal mode is selected by the user.\n,K082268.pdf.txt,2025-11-05T17:23:40.811131
53,151,use,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
66,167,has parts of the class,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
289,95,different from,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
53,257,instance of,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
257,75,subclass of,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
163,276,facet of,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
198,286,uses,A clinical evaluation was performed to\nensure that the modified device meets user requirements.,K082268.pdf.txt,2025-11-05T17:23:40.811131
286,198,used by,A clinical evaluation was performed to\nensure that the modified device meets user requirements.,K082268.pdf.txt,2025-11-05T17:23:40.811131
161,83,has part,Summary of Safety and Effectiveness\nThis summary of safety and effectiveness information is being submitted in accordance\nwith the requirements of 21 CFR 807.92\n(This section is not confiden~tial FEB -9 2009\nDATE,K082268.pdf.txt,2025-11-05T17:23:40.811131
83,161,part of,Summary of Safety and Effectiveness\nThis summary of safety and effectiveness information is being submitted in accordance\nwith the requirements of 21 CFR 807.92\n(This section is not confiden~tial FEB -9 2009\nDATE,K082268.pdf.txt,2025-11-05T17:23:40.811131
53,222,instance of,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
215,273,studies,A hazard analysis was carried out on the module with the IPI functionality and on the\nCapnostream 20 host monitor displaying the IPI values.,K082268.pdf.txt,2025-11-05T17:23:40.811131
273,215,studied by,A hazard analysis was carried out on the module with the IPI functionality and on the\nCapnostream 20 host monitor displaying the IPI values.,K082268.pdf.txt,2025-11-05T17:23:40.811131
95,276,instance of,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
172,192,instance of,"Clearance Date\nOridion 1987 Capnostream 20 K072295 October 1 1th, 2007\nMedical Ltd\nDEVICE DESCRIPTION\nThe Capnostream 20 bedside monitor is a two parameter monitor consisting of a\nminiMediCO 2capnography module and a pulse oximetry module implemented in a host\ndevice.",K082268.pdf.txt,2025-11-05T17:23:40.811131
207,270,subclass of,"INTENDED USE\nThe Capnostream 20 combined capnograph/pulse oximeter monitor is intended to\nprovide professionally trained health care providers the continuous, non invasive\nmeasurement and monitoring of carbon dioxide concentration of the expired and\ninspired breath and respiration rate, and for the continuous non-invasive monitoring of\nfunctional oxygen saturation of arterial hemoglobin (SpO2) and pulse rate.",K082268.pdf.txt,2025-11-05T17:23:40.811131
217,229,has part,The MiniMediCO2 module software is designed to enable the index to be calculated by\naccepting SpO2 and heart rate values supplied at the required rate (once a second) by\nany type of pulse oximetry module implemented in a host device.,K082268.pdf.txt,2025-11-05T17:23:40.811131
180,254,opposite of,"It is intended\nfor use with neonatal, pediatric and adult patients in hospitals, hospital type facilities,\nintra-hospital transport and home environments.\n",K082268.pdf.txt,2025-11-05T17:23:40.811131
97,96,part of the series,"Design Identical to the Capnostream 20 See K072295\ndescribed in K072295 with the exception\nof the software-changes in both the\nEtCO2 module and host monitor\ndescribed in this submission\nWhere Used It is to be used by physicians, nurses and It is to be used by physicians, nurses\nother trained health care providers in and other trained health care providers\ncritical care patient settings, such as in critical care patient settings, such as\nanesthesiology, intensive care medicine, anesthesiology, intensive care\nneonatal intensive care and other health medicine, neonatal Intensive care and\ncare areas other health care areas\nPerformance ISO 21647 ISO 21647\nStandards ISO 9919 ISO 9919\nSafety IEC/EN 60601-1 lEC/EN 60601-1\nStandards IEC/EN 60601-1-2(2001) IEC/EN 60601-1-2(2001)\nIEC 60601-1-8 IEC 60601-1-8\nUL 60601-1 UL 60601 -1\nISO 14971 ISO 14971\nBiocompatibility There are no issues of biocompatibility for There are no issues of biocompatibility\nthis device and no biocompatibility testing for this device and no biocompatibility\nwas done.",K082268.pdf.txt,2025-11-05T17:23:40.811131
279,168,different from,Sterility This device does not require sterilization This device does not require\nand is shipped marked non-sterile.,K082268.pdf.txt,2025-11-05T17:23:40.811131
53,95,uses,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
160,93,facet of,Summary of Safety and Effectiveness\nThis summary of safety and effectiveness information is being submitted in accordance\nwith the requirements of 21 CFR 807.92\n(This section is not confiden~tial FEB -9 2009\nDATE,K082268.pdf.txt,2025-11-05T17:23:40.811131
149,88,subsidiary,"Public Health Service\nFood and Drug Administration9200 Corporate Boulevard\nRockville MD 20850\nFEB -9 2009\nMs. Rachel Weissbrod\nDirector of Regulatory Affairs\nOridion Capnography, Incorporated\nc/o Oridion Medical 1987 Limited\nHar Hotzvim Science Park, POB 45025\nJerusalem\nIsrael 91450\nRe: K082268\nTrade/Device Name: Capnostream20\nRegulation Number: 870.2700\nRegulation Name: Oximeter\nRegulatory Class: II\nProduct Code: DQA, CCK\nDated: January 9, 2009\nReceived: January 27, 2009\n",K082268.pdf.txt,2025-11-05T17:23:40.811131
88,149,parent organization,"Public Health Service\nFood and Drug Administration9200 Corporate Boulevard\nRockville MD 20850\nFEB -9 2009\nMs. Rachel Weissbrod\nDirector of Regulatory Affairs\nOridion Capnography, Incorporated\nc/o Oridion Medical 1987 Limited\nHar Hotzvim Science Park, POB 45025\nJerusalem\nIsrael 91450\nRe: K082268\nTrade/Device Name: Capnostream20\nRegulation Number: 870.2700\nRegulation Name: Oximeter\nRegulatory Class: II\nProduct Code: DQA, CCK\nDated: January 9, 2009\nReceived: January 27, 2009\n",K082268.pdf.txt,2025-11-05T17:23:40.811131
240,181,subclass of,"The general controls provisions of the Act include\nrequirements for annual registration, listing of devices, good manufacturing practice,\nlabeling, and prohibitions against misbranding and adulteration.\n",K082268.pdf.txt,2025-11-05T17:23:40.811131
72,173,has part,"Existing major regulations affecting\nyour device can be found in the Code of Federal Regulations, Title 21, Parts 800 to 898.",K082268.pdf.txt,2025-11-05T17:23:40.811131
173,72,part of,"Existing major regulations affecting\nyour device can be found in the Code of Federal Regulations, Title 21, Parts 800 to 898.",K082268.pdf.txt,2025-11-05T17:23:40.811131
137,3,ranking,jCc)0 2\n2. 51 0(k),K082268.pdf.txt,2025-11-05T17:23:40.811131
230,264,part of,"The general controls provisions of the Act include\nrequirements for annual registration, listing of devices, good manufacturing practice,\nlabeling, and prohibitions against misbranding and adulteration.\n",K082268.pdf.txt,2025-11-05T17:23:40.811131
26,249,subclass of,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
258,70,instance of,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
19,156,instance of,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
116,204,facet of,"For questions regarding the\nreporting of device adverse events (Medical Device Reporting (MDR)), please contact the\nDivision of Surveillance Systems at 240-276-3464.",K082268.pdf.txt,2025-11-05T17:23:40.811131
89,185,field of work,"Design Identical to the Capnostream 20 See K072295\ndescribed in K072295 with the exception\nof the software-changes in both the\nEtCO2 module and host monitor\ndescribed in this submission\nWhere Used It is to be used by physicians, nurses and It is to be used by physicians, nurses\nother trained health care providers in and other trained health care providers\ncritical care patient settings, such as in critical care patient settings, such as\nanesthesiology, intensive care medicine, anesthesiology, intensive care\nneonatal intensive care and other health medicine, neonatal Intensive care and\ncare areas other health care areas\nPerformance ISO 21647 ISO 21647\nStandards ISO 9919 ISO 9919\nSafety IEC/EN 60601-1 lEC/EN 60601-1\nStandards IEC/EN 60601-1-2(2001) IEC/EN 60601-1-2(2001)\nIEC 60601-1-8 IEC 60601-1-8\nUL 60601-1 UL 60601 -1\nISO 14971 ISO 14971\nBiocompatibility There are no issues of biocompatibility for There are no issues of biocompatibility\nthis device and no biocompatibility testing for this device and no biocompatibility\nwas done.",K082268.pdf.txt,2025-11-05T17:23:40.811131
